,input_text,locations,loc_spans,coord_points,input_order
157,1428769496957870080,Itävallan,"(22, 31)","(13.33333, 47.33333)",157
157,1428769496957870080,Salzburgissa,"(32, 44)","(13.25, 47.41667)",157
158,1428621364202704896,Kroatian,"(104, 112)","(15.5, 45.16667)",158
158,1428621364202704896,Venäjän,"(116, 123)","(100.0, 60.0)",158
158,1428621364202704896,tampere,"(210, 217)","(23.78712, 61.49911)",158
159,1428825535329755136,Oulu,"(215, 219)","(25.46816, 65.01236)",159
160,1428793387541581824,,,,160
161,1428946722965889024,,,,161
162,1428619065199841280,,,,162
163,1429094249279131648,,,,163
164,1429001784828309504,,,,164
165,1428763267141361664,,,,165
166,1428654947097264128,,,,166
167,1428788929365430272,,,,167
168,1428993490239827968,Ylihärmässä,"(36, 47)","(22.78333, 63.15)",168
168,1428993490239827968,Suomen,"(69, 75)","(26.0, 64.0)",168
169,1429082109076025344,,,,169
170,1428795396743213056,,,,170
171,1429000925054636032,,,,171
172,1429066724788391936,Musiikkitalon,"(87, 100)","(24.93492, 60.17379)",172
172,1429066724788391936,Töölöön,"(176, 183)","(24.92386, 60.17892)",172
173,1429129896962428928,,,,173
174,1429138790359044096,,,,174
175,1428668910329602048,,,,175
176,1428678753568399360,,,,176
177,1429140100659785728,Tammisaari,"(5, 15)","(23.43389, 59.97359)",177
178,1429115712543633408,,,,178
179,1428726189514964992,,,,179
180,1428723592859095040,,,,180
181,1428770334325493760,Lohjalla,"(12, 20)","(24.06534, 60.24859)",181
182,1428733741489344512,,,,182
183,1428647125005516800,Messukylään,"(41, 52)","(23.84222, 61.48547)",183
183,1428647125005516800,Messukylä,"(241, 250)","(23.84222, 61.48547)",183
183,1428647125005516800,Vuorekseen,"(56, 66)","(23.81184, 61.431)",183
183,1428647125005516800,Vuores,"(252, 258)","(23.81184, 61.431)",183
184,1428682832759738368,,,,184
185,1428990167864520704,,,,185
186,1429084473367400448,Helsingissä,"(46, 57)","(24.93545, 60.16952)",186
187,1428791981577314304,Helsingin,"(73, 82)","(24.93545, 60.16952)",187
187,1428791981577314304,Stadi,"(151, 156)","(24.93545, 60.16952)",187
187,1428791981577314304,Raisiossa,"(199, 208)","(22.14503, 60.49194)",187
188,1428965045740916736,,,,188
189,1428690705631875072,,,,189
190,1428724388736688128,Helsingin,"(71, 80)","(24.93545, 60.16952)",190
190,1428724388736688128,Lapinlahden,"(81, 92)","(24.91772, 60.16696)",190
191,1428672079537352704,,,,191
192,1429065643131904000,,,,192
193,1428679557184462848,,,,193
194,1428908773138182144,,,,194
195,1428972754066460672,,,,195
196,1429065296036384768,,,,196
197,1429083881790218240,,,,197
198,1428957149149999104,,,,198
199,1428752665434071040,,,,199
200,1429066700574580736,Kallion,"(22, 29)","(24.95034, 60.18427)",200
200,1429066700574580736,helsinki,"(108, 116)","(24.93545, 60.16952)",200
200,1429066700574580736,Kirstinkatu,"(44, 55)",,200
200,1429066700574580736,Vaasanrinteen,"(60, 73)",,200
201,1428787831103705088,Valkeakoski,"(11, 22)","(24.03122, 61.26421)",201
202,1428637485987471360,,,,202
203,1429102914765795328,,,,203
204,1428721445224521728,Oulun,"(45, 50)","(25.46816, 65.01236)",204
205,1429003489447923712,,,,205
206,1429006492879966208,,,,206
207,1429011788503322624,,,,207
208,1429011165993132032,,,,208
209,1429096952474607616,Jäämerestä,"(234, 244)","(0.0, 85.0)",209
209,1429096952474607616,Lofooteilta,"(245, 256)","(12.79496, 68.20483)",209
210,1428664192526176256,,,,210
211,1429131179664478208,,,,211
212,1429046834132144128,,,,212
213,1429027565650382848,,,,213
214,1428746987344650240,,,,214
215,1428775137659297792,,,,215
216,1428627700734910464,,,,216
217,1428748215319465984,helsinki,"(46, 54)","(24.93545, 60.16952)",217
218,1428648975524052992,,,,218
219,1429123584107204608,Rovaniemellä,"(77, 89)","(25.95247, 66.60881)",219
220,1428989881368387584,Vaajakoskella,"(0, 13)","(25.86967, 62.24787)",220
221,1428748749648666624,,,,221
222,1428925331461885952,,,,222
223,1428753503497895936,,,,223
224,1429008355121639424,Ukrainassa,"(48, 58)","(32.0, 49.0)",224
224,1429008355121639424,Syyriassa,"(62, 71)","(38.0, 35.0)",224
225,1428659897856634880,,,,225
226,1429035304426541056,,,,226
227,1429111441353842688,,,,227
228,1429015877731733504,,,,228
229,1428625439560507392,,,,229
230,1428716652485545984,,,,230
231,1428767819437645824,,,,231
232,1429091927790661632,,,,232
233,1428806643484069888,Rovaniemen,"(0, 10)","(25.95247, 66.60881)",233
234,1428719602419347456,,,,234
235,1428988207174127616,,,,235
236,1428991235675639808,Pöllyvaaran,"(37, 48)","(27.7277692, 64.2362079)",236
237,1428993158264803328,,,,237
238,1429110445097590784,,,,238
239,1428975209953079296,,,,239
240,1428728370808901632,,,,240
241,1428742789098090496,,,,241
242,1428673520704364544,Uudenmaan,"(85, 94)","(24.75, 60.41667)",242
242,1428673520704364544,Etelä-Karjalassa,"(107, 123)","(28.16667, 60.96667)",242
242,1428673520704364544,Etelä-Savon sairaanhoitopiiri,"(125, 154)",,242
243,1428983141117702144,,,,243
244,1429033928401297408,,,,244
245,1428794333931745280,hollola,"(99, 106)","(25.36825, 61.01262)",245
246,1429082494729654272,,,,246
247,1428699155334148096,Helsinki,"(0, 8)","(24.93545, 60.16952)",247
248,1428998878309883904,,,,248
249,1429109854958931968,pälkäne,"(150, 157)","(24.51912, 61.35403)",249
250,1429054964878430208,Turussa,"(21, 28)","(22.33333, 60.53333)",250
251,1428819967559053312,,,,251
252,1428960246593097728,,,,252
253,1429024741394898944,,,,253
254,1428687695837073408,,,,254
255,1428651299751481344,Afganistaniin,"(74, 87)","(66.0, 33.0)",255
256,1428620608699617280,,,,256
257,1428977164796502016,,,,257
258,1428689205924925440,,,,258
259,1428791396639678464,Saimaa,"(38, 44)","(28.25, 61.25)",259
260,1428986572326809600,,,,260
261,1428953672000606208,,,,261
262,1428625335101313024,Helsingissä,"(10, 21)","(24.93545, 60.16952)",262
263,1428991425182674944,,,,263
264,1429062137402511360,,,,264
265,1428685142667763712,lappeenranta,"(172, 184)","(28.18871, 61.05871)",265
266,1428966002784669696,,,,266
267,1429078989054914560,Suezilta,"(0, 8)","(32.3, 29.7)",267
267,1429078989054914560,suomi,"(247, 252)","(26.0, 64.0)",267
267,1429078989054914560,suez,"(254, 258)","(32.3, 29.7)",267
267,1429078989054914560,afganistan,"(260, 270)","(66.0, 33.0)",267
268,1428969460082302976,,,,268
269,1428724962228113408,vantaa,"(135, 141)","(25.04099, 60.29414)",269
270,1429084759406284800,akaa,"(145, 149)","(23.86582, 61.16738)",270
271,1429081966066995200,Suomen,"(37, 43)","(26.0, 64.0)",271
272,1428761406879506432,,,,272
273,1429065559874887680,,,,273
274,1428733983227973632,,,,274
275,1428720386158600192,Afganistanissa,"(0, 14)","(66.0, 33.0)",275
275,1428720386158600192,suomessa,"(73, 81)","(26.0, 64.0)",275
276,1429005732385599488,Suomen,"(35, 41)","(26.0, 64.0)",276
276,1429005732385599488,Ruotsin,"(45, 52)","(15.0, 62.0)",276
277,1428945662511566848,,,,277
278,1428696330734641152,,,,278
279,1428641197757698048,,,,279
280,1428736033034838016,,,,280
281,1428641562720940032,,,,281
282,1428780718310805504,,,,282
283,1429047854715351040,,,,283
284,1428642260862869504,,,,284
285,1428969501337473024,Pallaksella,"(83, 94)","(24.04969517, 68.0757086)",285
285,1428969501337473024,Muonion,"(129, 136)","(23.7, 67.95)",285
286,1428805226761424896,,,,286
287,1429052512301207552,Suomen,"(60, 66)","(26.0, 64.0)",287
287,1429052512301207552,Afganistaniin,"(135, 148)","(66.0, 33.0)",287
288,1428676223773855744,,,,288
289,1428619320825839616,,,,289
290,1428720172148436992,,,,290
291,1429069027570241536,,,,291
292,1428971483209084928,,,,292
293,1429123094602465280,,,,293
294,1429091996241702912,Puola,"(26, 31)","(20.0, 52.0)",294
295,1429080076797292544,,,,295
296,1428669929654562816,hämeenlinna,"(166, 177)","(24.46434, 60.99596)",296
297,1428658981547954176,,,,297
298,1429033681956581376,,,,298
299,1428823674472345600,suomen,"(32, 38)","(26.0, 64.0)",299
299,1428823674472345600,Forssaan,"(91, 99)","(23.62146, 60.81462)",299
299,1428823674472345600,lähi-itä,"(163, 171)",,299
299,1428823674472345600,Suomeen,"(211, 218)","(26.0, 64.0)",299
300,1429121993614503936,,,,300
301,1428699882202742784,Suomen,"(0, 6)","(26.0, 64.0)",301
301,1428699882202742784,Oulu,"(85, 89)","(25.96448, 65.21442)",301
302,1428637169711714304,Afrikan,"(165, 172)","(21.09375, 7.1881)",302
303,1428991878830112768,,,,303
304,1429014171744620544,,,,304
305,1429044081523666944,,,,305
306,1429076735585357824,,,,306
307,1429089577692803072,,,,307
308,1428656339987873792,,,,308
309,1428934282492456960,,,,309
310,1429105550353125376,,,,310
311,1428708187679690752,Muhoksen,"(198, 206)","(26.13344, 64.75789)",311
312,1429140332671864832,,,,312
313,1428657275233832960,Vantaalla,"(18, 27)","(25.04099, 60.29414)",313
314,1428623867979894784,,,,314
315,1428623408493993984,,,,315
316,1428755816656605184,,,,316
317,1428977619412963328,,,,317
318,1428690452857999360,,,,318
319,1428653136391061504,,,,319
320,1428919280653983744,Kolumbia,"(91, 99)","(-73.25, 4.0)",320
321,1429128200404324352,,,,321
322,1428993230553632768,,,,322
323,1428720707756773376,,,,323
324,1429138401018748928,,,,324
325,1429139346695786496,,,,325
326,1428936428566851584,,,,326
327,1428865330923937792,,,,327
328,1428731637030862848,,,,328
329,1429105163588018176,,,,329
330,1428766347442458624,Afganisthan,"(207, 218)","(66.0, 33.0)",330
331,1428673982061064192,Oulun,"(158, 163)","(25.46816, 65.01236)",331
331,1428673982061064192,oulu,"(186, 190)","(25.46816, 65.01236)",331
332,1428971614708932608,Tampereen,"(48, 57)","(23.87021, 61.60736)",332
332,1428971614708932608,Pälkäneellä,"(90, 101)","(24.51912, 61.35403)",332
332,1428971614708932608,Pälkäne,"(103, 110)","(24.51912, 61.35403)",332
332,1428971614708932608,Pälkäne,"(112, 119)","(24.51912, 61.35403)",332
333,1428851089244368896,,,,333
334,1429013996024340480,,,,334
335,1428722273171636224,Savonlinna,"(0, 10)","(29.10818, 61.8624)",335
335,1428722273171636224,Mikkeli,"(14, 21)","(27.33025, 61.64117)",335
336,1428736012646293504,,,,336
337,1428619568919060480,,,,337
338,1429066453983105024,,,,338
339,1428710896302440448,,,,339
340,1428706031962574848,Tikkurilassa,"(79, 91)","(25.03758, 60.29349)",340
340,1428706031962574848,vantaa,"(256, 262)","(25.04099, 60.29414)",340
341,1429119191383150592,,,,341
342,1429084794126798848,Hahkialan kartanon,"(0, 18)","(24.58875078693674, 61.14604465775364)",342
343,1428983170196779008,,,,343
344,1428695496894423040,,,,344
345,1429073597801316352,,,,345
346,1428712430616682496,,,,346
347,1429130736204931072,,,,347
348,1429134087336382464,,,,348
349,1428677900228861952,helsinki,"(198, 206)","(24.93545, 60.16952)",349
350,1428854136523694080,,,,350
351,1428714686661414912,,,,351
352,1428993892859400192,,,,352
353,1428621573339090944,,,,353
354,1428628246514569216,,,,354
355,1428704129883394048,Italiassa,"(114, 123)","(12.83333, 42.83333)",355
356,1428947785500528640,,,,356
357,1429011506465808384,Lappeenrannan,"(97, 110)","(28.27839, 61.02292)",357
357,1429011506465808384,Lappeenranta,"(173, 185)","(28.27839, 61.02292)",357
358,1428842831939051520,Australian,"(11, 21)","(135.0, -25.0)",358
359,1428748068019638272,Södertäljen,"(34, 45)","(17.62756, 59.18121)",359
360,1428803602978639872,,,,360
361,1429093049964146688,,,,361
362,1428699814695407616,,,,362
363,1429012167240597504,,,,363
364,1428664879104282624,,,,364
365,1428637238703894528,Inari,"(38, 43)","(27.0, 69.0)",365
365,1428637238703894528,Utsjoki,"(51, 58)","(27.0, 69.66667)",365
365,1428637238703894528,Barentsin,"(224, 233)","(36.0, 74.0)",365
366,1428657578859507712,,,,366
367,1429027509627203584,Kouvolassa,"(40, 50)","(26.82418, 60.92061)",367
368,1428736038462271488,Afganistaniin,"(65, 78)","(66.0, 33.0)",368
368,1428736038462271488,Yhdysvaltain,"(31, 43)","(-98.5, 39.76)",368
369,1428784685753290752,,,,369
370,1428770752887726080,Afganistan,"(0, 10)","(66.0, 33.0)",370
370,1428770752887726080,Afganistanin,"(18, 30)","(66.0, 33.0)",370
370,1428770752887726080,Suomen,"(67, 73)","(24.93545, 60.16952)",370
371,1429128642706251776,,,,371
372,1428929799901298688,,,,372
373,1429136692938788864,,,,373
374,1429003417402359808,,,,374
375,1429099694756700160,,,,375
376,1428674472077365248,Itämeren,"(24, 32)","(18.0, 56.0)",376
376,1428674472077365248,Suomen,"(46, 52)","(26.0, 64.0)",376
376,1428674472077365248,Selkämerellä,"(100, 112)","(20.0, 63.0)",376
376,1428674472077365248,Itämeri,"(229, 236)","(18.0, 56.0)",376
377,1429129949533949952,,,,377
378,1429073266317086720,,,,378
379,1429076719307304960,,,,379
380,1428946986825396224,,,,380
381,1428888033680633856,,,,381
382,1428930807482261504,,,,382
383,1429086204708982784,,,,383
384,1428781542512418816,,,,384
385,1429128412883390464,,,,385
386,1428724690521034752,,,,386
387,1428726052910665728,,,,387
388,1429075623146831872,Suomen,"(23, 29)","(26.0, 64.0)",388
389,1428967960534728704,keskikarjala,"(150, 162)","(29.99785, 62.1264)",389
389,1428967960534728704,kitee,"(204, 209)","(30.15, 62.1)",389
390,1428860789272809472,,,,390
391,1429083293794844672,,,,391
392,1428747304031375360,,,,392
393,1428721964819132416,,,,393
394,1429112199088418816,,,,394
395,1428810201117962240,,,,395
396,1428775605823102976,Kangasalla,"(90, 100)","(24.417, 61.48598)",396
397,1428795481333841920,,,,397
398,1429015561586061312,Herajoella,"(62, 72)","(29.98415, 62.99276)",398
398,1429015561586061312,Kolin kansallispuiston,"(74, 96)","(29.85, 63.06667)",398
399,1428716498667900928,,,,399
400,1429139711248027648,,,,400
401,1428712439718334464,Helsinkiin,"(235, 245)","(24.93545, 60.16952)",401
402,1429124918550085632,Benz,"(25, 29)","(23.5662, 60.0865)",402
403,1428724342267990016,,,,403
404,1428943036390809600,,,,404
405,1428637373898887168,,,,405
406,1429126032741830656,,,,406
407,1428983229546123264,Turkin,"(0, 6)","(35.0, 39.0)",407
408,1429066423444414464,,,,408
409,1429022536575168512,,,,409
410,1429102213109006336,,,,410
411,1428759461003464704,,,,411
412,1429124957930459136,,,,412
413,1428757168908611584,,,,413
414,1429109698985402368,,,,414
415,1428626458226962432,,,,415
416,1428704775848202240,Helsinki-Vantaalla,"(47, 65)","(24.96333, 60.31722)",416
416,1428704775848202240,Suomen,"(7, 13)","(26.0, 64.0)",416
417,1429104660909023232,,,,417
418,1428732943401308160,Saamenmaalla,"(17, 29)",,418
418,1428732943401308160,Saamenmaan,"(119, 129)",,418
419,1429058019887919104,Hki,"(20, 23)","(24.93545, 60.16952)",419
419,1429058019887919104,Kaaren,"(24, 30)","(24.89437, 60.23691)",419
420,1428620435197997056,,,,420
421,1428675964255490048,,,,421
422,1428701182097231872,,,,422
423,1428791423160233984,,,,423
424,1428986370958237696,,,,424
425,1428659399518740480,,,,425
426,1428630437392420864,,,,426
427,1428623901970534400,,,,427
428,1429014173959155712,Vuoksen,"(0, 7)","(28.784102, 61.176236)",428
428,1429014173959155712,Saimaa Geopark,"(149, 163)","(28.14719, 61.57493)",428
428,1429014173959155712,Jäppilänniemen taidetie,"(124, 147)","(28.9318, 61.1885)",428
429,1428987625839501312,Keski-Suomen,"(0, 12)","(25.5, 62.5)",429
429,1428987625839501312,Keuruu,"(47, 53)","(24.55665, 62.29492)",429
430,1428774946512285696,,,,430
431,1428681598963175424,,,,431
432,1429061603970924544,Saksassa,"(89, 97)","(10.5, 51.5)",432
432,1429061603970924544,Suomen,"(117, 123)","(26.0, 64.0)",432
433,1428659007040983040,Turussa,"(0, 7)","(22.33333, 60.53333)",433
434,1428955065696522240,Uusikaupunki,"(144, 156)","(21.39688, 60.81052)",434
435,1429111057977536512,,,,435
436,1428864480381919232,,,,436
437,1428649312230182912,,,,437
438,1429027457944928256,,,,438
439,1428792840797278208,Hyvinkää,"(4, 12)","(24.867, 60.633)",439
440,1428652766822547456,Kuopio,"(216, 222)","(27.6894, 62.88184)",440
440,1428652766822547456,Berlin,"(224, 230)","(13.41053, 52.52437)",440
441,1428639216477614080,Afganistanin,"(0, 12)","(66.0, 33.0)",441
441,1428639216477614080,Afganistanin,"(116, 128)","(66.0, 33.0)",441
442,1429017069249499136,Turku,"(26, 31)","(22.33333, 60.53333)",442
442,1429017069249499136,Turku,"(124, 129)","(22.33333, 60.53333)",442
442,1429017069249499136,turku,"(210, 215)","(22.33333, 60.53333)",442
443,1428626957646893056,,,,443
444,1428619262529359872,,,,444
445,1429070258799792128,,,,445
446,1428726406645702656,,,,446
447,1428962070624677888,,,,447
448,1429129783527583744,,,,448
449,1429072302768017408,,,,449
450,1428658271406235648,,,,450
451,1428671973786329088,,,,451
452,1429143401216323584,Haapajärvellä,"(80, 93)","(25.33605, 63.7637)",452
453,1428987514451341312,,,,453
454,1428728508457566208,,,,454
455,1429139271357800448,,,,455
456,1429098993989177344,,,,456
457,1428618879174066176,Porvoo,"(227, 233)","(25.68229, 60.38585)",457
457,1428618879174066176,Borgå,"(235, 240)","(25.68229, 60.38585)",457
458,1429065803601752064,,,,458
459,1429109927201710080,,,,459
460,1429130602113028096,,,,460
461,1428620779659354112,,,,461
462,1429022686148284416,,,,462
463,1428744943846236160,Afganistan,"(60, 70)","(66.0, 33.0)",463
464,1428675546444091392,,,,464
465,1428757681335046144,,,,465
466,1428717461982044160,Turku,"(0, 5)","(22.33333, 60.53333)",466
467,1428832740284186624,Suomessa,"(45, 53)","(26.0, 64.0)",467
467,1428832740284186624,Tampere,"(135, 142)","(23.87021, 61.60736)",467
467,1428832740284186624,Nokia,"(146, 151)","(23.37717, 61.44712)",467
467,1428832740284186624,Pohjois-Hämettä,"(158, 173)",,467
467,1428832740284186624,Satakuntaakaan,"(223, 237)","(22.16667, 61.5)",467
467,1428832740284186624,Pirkanmaata,"(266, 277)","(23.71667, 61.7)",467
468,1428691021857267712,,,,468
469,1428695378703134720,afganistiaan,"(18, 30)","(66.0, 33.0)",469
470,1428707643649150976,,,,470
471,1428658450947616768,,,,471
472,1429036228851257344,,,,472
473,1428780225127755776,,,,473
474,1428827611153715200,,,,474
475,1428681697311211520,Kouvola'ssa,"(60, 71)","(26.82418, 60.92061)",475
476,1429062594283905024,,,,476
477,1429117942923464704,,,,477
478,1428777748483411968,Liettuan,"(7, 15)","(24.0, 55.41667)",478
